Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CYBERCITY DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
159,WP,28894/2023,2023,202328834,,,,,,,,
160,WP,7217/2020,2020,202020726,,,,,,,,
161,WP,10554/2020,2020,202021064,,,,,,,,
162,WP,29594/2023,2023,202328890,,,,,,,,
163,WP,15928/2017,2017,201919217,,,,,,,,
164,WP,1004/2019,2019,201920170,,,,,,,,
165,WP,5590/2018,2018,201919232,,,,,,,,
166,WP,32728/2023,2023,202329012,,,,,,,,
167,WP,12500/2023,2023,202328121,,,,,,,,
168,WP,12240/2019,2019,201920134,,,,,,,,
169,WP,3320/2021,2021,202121857,,,,,,,,
170,WP,13115/2019,2019,201920092,,,,,,,,
171,WP,8772/2023,2023,202327949,,,,,,,,
172,WP,32894/2023,2023,202329030,,,,,,,,
173,WP,7123/2023,2023,202327862,,,,,,,,
174,WP,36762/2022,2022,202224857,,,,,,,,
175,WP,19383/2021,2021,202122320,,,,,,,,
176,WP,12346/2021,2021,202122037,,,,,,,,
177,WP,40310/2018,2018,201919195,,,,,,,,
178,WP,41164/2022,2022,202224922,,,,,,,,
179,WP,26232/2023,2023,202328708,,,,,,,,
180,WP,30500/2022,2022,202224714,,,,,,,,
181,WP,29786/2023,2023,202328863,,,,,,,,
182,WP,18706/2020,2020,202021461,,,,,,,,
183,WP,24569/2022,2022,202224543,,,,,,,,
184,WP,13575/2021,2021,202122335,,,,,,,,
185,WP,24318/2023,2023,202328617,,,,,,,,
186,WP,18338/2023,2023,202328389,,,,,,,,
187,WP,12630/2021,2021,202122325,,,,,,,,
188,WP,23977/2019,2019,201920030,,,,,,,,
189,WP,2045/2020,2020,202020387,,,,,,,,
190,WP,190/2021,2021,202121740,,,,,,,,
191,WP,28376/2019,2019,202020283,,,,,,,,
192,WP,2597/2021,2021,202122775,,,,,,,,
193,WP,28433/2023,2023,202328789,,,,,,,,
194,WP,31507/2023,2023,202328947,,,,,,,,
195,WP,19310/2021,2021,202122317,,,,,,,,
196,WP,43810/2022,2022,202225000,,,,,,,,
197,WP,27066/2023,2023,202328764,,,,,,,,
198,WP,32902/2023,2023,202329027,,,,,,,,
199,WP,30258/2014,2014,201516041,,,,,,,,
200,WP,46227/2022,2022,202225064,,,,,,,,
201,WP,32327/2023,2023,202328992,,,,,,,,
202,WP,13993/2019,2019,201920040,,,,,,,,
203,WP,8989/2022,2022,202223151,,,,,,,,
204,WP,28277/2023,2023,202328797,,,,,,,,
205,AA,182/2014,2014,201516251,,,,,,,,
206,WP,45727/2022,2022,202225057,,,,,,,,
207,WP,16479/2021,2021,202122177,,,,,,,,
208,WP,5499/2018,2018,202328180,,,,,,,,
209,WP,23404/2018,2018,201919346,,,,,,,,
210,WP,6763/2021,2021,202222800,,,,,,,,
211,WP,18827/2021,2021,202122532,,,,,,,,
212,WP,3391/2021,2021,202121864,,,,,,,,
213,WP,23768/2019,2019,201920027,,,,,,,,
214,WP,45686/2022,2022,202225060,,,,,,,,
215,WP,4058/2020,2020,202020472,,,,,,,,
216,WP,28388/2019,2019,202020285,,,,,,,,
217,WP,36085/2018,2018,201919254,,,,,,,,
218,WP,35352/2017,2017,201919245,,,,,,,,
219,WP,16468/2021,2021,202122173,,,,,,,,
220,WP,32723/2023,2023,202329014,,,,,,,,
221,WP,12093/2017,2017,201718248,,,,,,,,
222,WP,15437/2023,2023,202328297,,,,,,,,
223,WP,13422/2018,2018,201919275,,,,,,,,
224,WP,16709/2021,2021,202122176,,,,,,,,
225,WP,32306/2023,2023,202329010,,,,,,,,
226,WP,17664/2021,2021,202122269,,,,,,,,
227,WP,2809/2021,2021,202121853,,,,,,,,
228,WP,26113/2016,2016,201718389,,,,,,,,
229,WP,3981/2021,2021,202121871,,,,,,,,
230,WP,8626/2023,2023,202327957,,,,,,,,
231,WP,32307/2023,2023,202328981,,,,,,,,
232,WP,35003/2018,2018,201919246,,,,,,,,
233,WP,5391/2021,2021,202122009,,,,,,,,
234,WP,45802/2022,2022,202225049,,,,,,,,
235,WP,9572/2020,2020,202020953,,,,,,,,
236,WP,10639/2016,2016,201919203,,,,,,,,
237,WP,17777/2021,2021,202122225,,,,,,,,
238,WP,12584/2019,2019,201920094,,,,,,,,
239,WP,25783/2023,2023,202328700,,,,,,,,
240,WP,35180/2022,2022,202224800,,,,,,,,
241,WP,14646/2019,2019,201919844,,,,,,,,
242,WP,21417/2018,2018,201919332,,,,,,,,
243,WP,14555/2021,2021,202122074,,,,,,,,
244,WP,10357/2023,2023,202328024,,,,,,,,
245,WP,9455/2019,2019,201920130,,,,,,,,
246,WP,6800/2018,2018,201919289,,,,,,,,
247,WP,26278/2019,2019,201920164,,,,,,,,
248,WP,8735/2023,2023,202327948,,,,,,,,
249,WP,9577/2021,2021,202121947,,,,,,,,
250,WP,13068/2019,2019,201920132,,,,,,,,
251,WP,27613/2019,2019,201920202,,,,,,,,
252,WP,27457/2018,2018,201919221,,,,,,,,
253,WP,30602/2022,2022,202224708,,,,,,,,
254,WP,7232/2021,2021,202122001,COUNTER,,,,,,,
255,CC,835/2016,2016,201919431,,,,,,,,
256,WP,26393/2023,2023,202328754,,,,,,,,
257,WP,12799/2019,2019,201919868,,,,,,,,
258,WP,27738/2023,2023,202328769,,,,,,,,
259,WP,393/2018,2018,201919216,,,,,,,,
260,WP,29414/2022,2022,202224685,,,,,,,,
261,WP,3224/2020,2020,202020437,,,,,,,,
262,WP,44279/2022,2022,202225024,,,,,,,,
263,WP,31357/2018,2018,201919225,,,,,,,,
264,WP,35525/2013,2013,201515216,,,,,,,,
265,WP,3413/2021,2021,202121865,,,,,,,,
266,WP,32375/2023,2023,202328990,,,,,,,,
267,WP,11905/2019,2019,201919867,,,,,,,,
268,WP,31765/2023,2023,202328985,,,,,,,,
269,WP,8880/2023,2023,202327946,,,,,,,,
270,WP,27900/2019,2019,201920231,,,,,,,,
271,WP,14883/2023,2023,202328239,,,,,,,,
272,WP,29977/2023,2023,202328858,,,,,,,,
273,WP,27492/2023,2023,202328762,,,,,,,,
274,WP,18119/2010,2009,201919261,,,,,,,,
275,WP,30379/2022,2022,202224713,,,,,,,,
276,WP,31575/2023,2023,202328946,,,,,,,,
277,WP,33001/2023,2023,202329026,,,,,,,,
278,WP,28410/2023,2023,202328783,,,,,,,,
279,WP,26122/2023,2023,202328724,,,,,,,,
280,WP,8000/2019,2019,201920095,,,,,,,,
281,AA,77/2009,2010,201516253,,,,,,,,
282,WP,3273/2021,2021,202121856,,,,,,,,
