Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF SE/IPC DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
210,WP,38251,2013,201514441,,,,,,,,
211,WP,10143/2004,2004,201515073,,,,,,,,
212,WP,2490/2017,2017,201818870,,,,,,,,
213,WP,37733/2015,2015,201616836,,,,,,,,
214,CC,1127/2019,2019,202020399,,,,,,,,
215,CC,1799/2023,2023,202328549,,,,,,,,
216,WP,37819/2015,2015,201616843,,,,,,,,
217,WP,2572/2020,2020,202020418,,,,,,,,
218,WP,31777/2015,2015,201516242,,,,,,,,
219,WP,7658/2020,2020,202020762,,,,,,,,
220,WP,13182/2015,2015,202224584,,,,,,,,
221,WP,2456/2005,2005,201515871,,,,,,,,
222,WP,13222/2020,2020,202021233,,,,,,,,
223,WP,17292/2022,2022,202224326,,,,,,,,
224,WP,26216/2023,2023,202328705,,,,,,,,
225,WP,8384,2015,201514654,,,,,,,,
226,WP,8755/2014,2014,201516090,,,,,,,,
227,WP,2290/2014,2014,201516114,,,,,,,,
228,WP,2651/2020,2020,202020420,,,,,,,,
229,WP,8370,2015,201514652,,,,,,,,
230,WP,7509/2016,2016,201617596,,,,,,,,
231,WP,27210/2017,2017,201718453,,,,,,,,
232,WP,21304/2020,2020,202021556,,,,,,,,
233,WP,33459/2015,2015,201616848,,,,,,,,
234,WP,2190/2015,2005,201617196,,,,,,,,
235,WP,4899/2020,2020,202020514,,,,,,,,
236,WP,1768/2020,2020,202020374,,,,,,,,
237,WP,35324/2016,2016,201718436,,,,,,,,
238,WP,2636/2005,2005,201818773,,,,,,,,
239,WP,41219/2014,2014,202328957,,,,,,,,
240,WP,8090/2021,2021,202121985,,,,,,,,
241,WP,1784/2020,2020,202020370,,,,,,,,
242,WP,11003/2015,2015,201515255,,,,,,,,
243,WP,24173/2016,2016,201617844,,,,,,,,
244,WP,33404/2016,2016,201617899,,,,,,,,
245,WP,36613/2015,2015,201617599,,,,,,,,
246,WP,26285/2008,2008,201516055,,,,,,,,
247,WP,28112/2019,2019,201920242,,,,,,,,
248,WP,2957/2022,2022,202222949,,,,,,,,
249,WP,36700/2012,2012,201515865,,,,,,,,
250,WP,28628/2019,2019,201920244,,,,,,,,
251,WP,2898,2005,201515102,,,,,,,,
252,WP,10032/2020,2020,202020967,,,,,,,,
253,WP,26890/2013,2013,201516057,,,,,,,,
254,CC,50/2016,2016,201617345,,,,,,,,
255,WP,6606/2021,2021,202121882,,,,,,,,
256,WP,27658/2019,2019,201920200,,,,,,,,
257,WP,15914/2000,2000,201515399,,,,,,,,
258,WP,37471,2015,201617361,,,,,,,,
259,WP,650/2020,2020,202020304,,,,,,,,
260,WP,6608/2016,2016,201617601,,,,,,,,
261,WP,35828/2013,2013,201515238,,,,,,,,
262,WP,2574/2020,2020,202020424,,,,,,,,
