Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF HABSIGUDA DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
225,WP,28558/1995,1995,201617348,,,,,,,,
226,WP,13811/2022,2022,202224210,,,,,,,,
227,WA,154,2009,201514005,,,,,,,,
228,WP,4496/2005,2005,201515585,,,,,,,,
229,WP,2071/2020,2020,202020400,,,,,,,,
230,WP,24404,2009,201513959,,,,,,,,
231,WP,2325/2005,2005,201515611,,,,,,,,
232,CC,1678/2016,2016,201919505,,,,,,,,
233,WP,3510/2007,2007,201515150,,,,,,,,
234,WP,3062/2005,2005,201515660,,,,,,,,
235,WP,15302/2004,2004,201617543,,,,,,,,
236,WP,11510/2014,2014,201617817,,,,,,,,
237,WP,23823/2021,2021,202122430,,,,,,,,
238,WP,41143/2014,2014,201617764,,,,,,,,
239,WP,19735/2017,2017,201718471,,,,,,,,
240,WP,8005/2020,2020,202020802,,,,,,,,
241,WP,14290/2022,2022,202224251,,,,,,,,
242,WP,18286/2017,2017,201718312,,,,,,,,
243,WP,25829/2021,2021,202122467,,,,,,,,
244,WP,39845,2014,201515011,,,,,,,,
245,OS,700/2009,2009,201617791,,,,,,,,
246,WP,39819,2014,201515010,,,,,,,,
247,WP,13118/2000,2000,201617750,,,,,,,,
248,WP,22318/2020,2020,202021624,,,,,,,,
249,WP,12385/2004,2004,201617343,,,,,,,,
250,WP,9244/2019,2019,201919799,,,,,,,,
251,WP,36518,2012,201513973,,,,,,,,
252,WP,13638/2020,2020,202021201,,,,,,,,
253,AS,106/2010,2010,201617781,,,,,,,,
254,WP,24031/2016,2016,201617828,,,,,,,,
255,WP,12845/2022,2022,202224173,,,,,,,,
256,WP,24821/2003,2003,201617274,,,,,,,,
257,HRC,6030/2016,2016,201617838,,,,,,,,
258,WP,23730,2015,201514775,,,,,,,,
259,WP,989/2016,2016,201617402,,,,,,,,
260,WP,2683/2007,2007,201617445,,,,,,,,
261,WP,3722/2020,2020,202020476,,,,,,,,
262,WP,25439/2009,2009,201515107,,,,,,,,
263,WP,10180/2004,2004,201617476,,,,,,,,
264,WP,23930/2019,2019,201920019,,,,,,,,
265,WP,26112/2022,2022,202224588,,,,,,,,
266,WP,18793/2006,2006,201617349,,,,,,,,
267,CC,1678/2015,2015,201617447,,,,,,,,
268,WP,12358/2019,2019,201919797,,,,,,,,
269,WP,40344/2015,2015,201516295,,,,,,,,
270,WP,15430/2020,2020,202021299,,,,,,,,
271,CC(CF),102,2015,201514936,,,,,,,,
272,WP,12909/2020,2020,202021109,,,,,,,,
273,WP,23653,2005,201513983,,,,,,,,
274,WP,33904,2014,201515017,,,,,,,,
275,WP,36050/2016,2016,201617980,,,,,,,,
276,WP,7846/2023,2023,202327893,,,,,,,,
277,WP,39145,2014,201515014,,,,,,,,
278,WP,5592,2015,201514860,,,,,,,,
279,WP,21495,2015,201514781,,,,,,,,
280,WP,33958/2018,2018,201919875,,,,,,,,
281,WP,2606/2007,2007,201617434,,,,,,,,
282,WP,58,2006,201514184,,,,,,,,
283,WP,2942,2015,201514902,,,,,,,,
284,WP,9702/2023,2023,202327976,,,,,,,,
285,WP,10313/2004,2004,201617516,,,,,,,,
286,WP,11392/2004,2004,201617546,,,,,,,,
287,WP,8970/2001,2001,201617748,,,,,,,,
288,CC,412/2007,2007,201617820,,,,,,,,
289,WP,7723/2021,2021,202121944,,,,,,,,
290,WP,1242/2021,2021,202121788,,,,,,,,
291,WP,13003,2015,201514769,,,,,,,,
292,WP,22736/2018,2018,201919686,,,,,,,,
293,WP,14982/2020,2020,202021284,,,,,,,,
294,AS,107/2010,2010,201617785,,,,,,,,
295,WP,18688/2019,2019,201919932,,,,,,,,
296,WP,19389/2020,2020,202021494,,,,,,,,
297,WP,644/2006,2006,201515322,,,,,,,,
298,WP,14980/2007,2007,201617333,,,,,,,,
299,WA,148,2009,201514055,,,,,,,,
300,WP,9847,2015,201515035,,,,,,,,
301,WP,24358/2023,2023,202328613,,,,,,,,
302,WP,6009/1995,1995,201617329,,,,,,,,
303,WA,819/2009,2009,201617822,,,,,,,,
304,WA,509/2019,2019,201919800,,,,,,,,
305,WP,13565/2021,2021,202122066,,,,,,,,
306,WP,20919/2002,2002,201617332,,,,,,,,
307,WP,13606/2005,2005,201617461,,,,,,,,
308,WP,28990/2019,2019,202020280,,,,,,,,
309,WP,17251/2001,2001,201617327,,,,,,,,
310,WP,16599/2004,2004,201617469,,,,,,,,
311,WP,21813/2017,2017,201718429,,,,,,,,
312,WP,23931/2019,2019,201920045,,,,,,,,
313,WP,28570/2019,2019,201920253,,,,,,,,
314,WA,1472,2009,201513995,,,,,,,,
315,WP,36238/2014,2014,201515088,,,,,,,,
316,CC,2555/2023,2023,202328969,,,,,,,,
317,WP,27650/2013,2013,201617439,,,,,,,,
318,WP,21924/2020,2020,202021601,,,,,,,,
319,WP,7996/2001,2001,201617331,,,,,,,,
320,WA,153,2009,201514003,,,,,,,,
321,WP,20360/2020,2020,202021552,,,,,,,,
322,WP,18145/2022,2022,202224357,,,,,,,,
323,WP,2509/2005,2005,201515578,,,,,,,,
324,WP,18023/2017,2017,201718327,,,,,,,,
